date,organization,count,rn
2020-02-27,Centers For Disease,1,1
2020-02-27,Department Of Justice,1,2
2020-02-27,Google,1,3
2020-02-27,University Of Memphis,1,4
2020-02-27,Uthealth Science Center,1,5
2020-03-12,Tennessee Department Of Education,1,1
2020-03-16,Nan,1,1
2020-03-17,Nan,1,1
2020-03-18,Centers For Disease,1,1
2020-03-18,Tennessee Supreme Court,1,2
2020-03-19,Centers For Disease,1,1
2020-03-19,Morris,1,2
2020-03-20,Canaan Baptist Church,1,1
2020-03-20,Episcopal Church,1,2
2020-03-20,Holston Conference Of The United Methodist Church,1,3
2020-03-20,Sequoyah Hills Presbyterian Church,1,4
2020-03-20,Tennessee Baptist Convention,1,5
2020-03-20,Tennessee Baptist Mission Board,1,6
2020-03-20,Tennessee Department Of Health,1,7
2020-03-22,Nan,1,1
2020-04-03,Iu Health,1,1
2020-04-03,Nan,1,2
2020-04-03,Tipton Police Sergeant Brad Robins,1,3
2020-04-07,Institute For Health Metrics,1,1
2020-04-07,Tennessee Department Of Health,1,2
2020-04-07,University Of Washington,1,3
2020-04-27,Hobby Lobby,2,1
2020-04-27,Kohl Department,2,2
2020-04-27,Olive Branch,2,3
2020-04-27,Olive Branch Chamber,2,4
2020-04-27,Towne Center,2,5
2020-05-03,Associated Press,1,1
2020-05-03,Bureau Of Labor Statistics,1,2
2020-05-03,Centers For Disease,1,3
2020-05-03,Kemmons Wilson School Of Hospitality,1,4
2020-05-03,National Restaurant Association Servsafe,1,5
2020-05-03,United States,1,6
2020-05-03,University Of Memphis,1,7
2020-05-03,University Of Tennessee,1,8
2020-05-12,Georgetown University,1,1
2020-05-12,Stanford University Clinical Excellence Research Center,1,2
2020-05-13,Georgetown University,1,1
2020-05-13,Stanford University Clinical Excellence Research Center,1,2
2020-05-18,College Of Education,1,1
2020-05-18,United States Today Network,1,2
