date,organization,count,rn
2020-03-02,Associated Press,1,1
2020-03-02,Centers For Disease,1,2
2020-03-02,Centers For Disease Control Prevention,1,3
2020-03-02,Texas Department Of State Health Services,1,4
2020-03-02,Texas Education Agency,1,5
2020-03-02,Texas Health Resources,1,6
2020-03-02,United States,1,7
2020-03-13,Nan,1,1
2020-03-14,Reliable Health At Texas Health Dr,1,1
2020-03-14,Texas Department Of State Health Services,1,2
2020-03-14,Texas Health,1,3
2020-03-14,Texas Health Resources,1,4
2020-03-14,Weatherford College,1,5
2020-03-17,American Association Of School Superintendents,1,2
2020-03-17,Consortium For School Networking,1,3
2020-03-17,Department Of State Health Services In Arlington,1,4
2020-03-17,Disney,1,5
2020-03-17,Downtown School,1,6
2020-03-17,Emergency Service Districts,1,7
2020-03-17,Gates Foundation,1,8
2020-03-17,Google,1,9
2020-03-17,Melinda Gates Foundation,1,10
2020-03-17,Strategic National,1,11
2020-03-17,Texas Department Of State Health Services,1,12
2020-03-17,United States,1,13
2020-03-17,Weatherford Healthcare Center,1,14
2020-03-17,Centers For Disease,2,1
2020-03-19,Texas Commission On Jail Standards,1,1
2020-03-19,Texas Department Of Criminal Justice,1,2
2020-03-19,Texas Juvenile Justice Department,1,3
2020-03-20,Centers For Disease,1,1
2020-03-20,Emergency Management Agency,1,2
2020-03-20,Nan,1,3
2020-03-20,Parkland Health,1,4
2020-03-20,Reliable Health At Texas Health Resources Dr,1,5
2020-03-20,Texas Health Resources Dr,1,6
2020-03-23,Albertsons,1,6
2020-03-23,Clerk Of Court,1,7
2020-03-23,University Of Texas At Dallas,1,8
2020-03-23,Ut Dalla Office Of Research,1,9
2020-03-23,American Airlines Center,2,3
2020-03-23,Centers For Disease,2,4
2020-03-23,Weatherford Public Library,2,5
2020-03-23,Facebook,3,1
2020-03-23,Texas Department Of State Health Services,3,2
2020-03-24,Weatherford Public Library,1,1
2020-03-25,Weatherford Police Department,1,6
2020-03-25,Weatherford Police Department Facebook,1,7
2020-03-25,City Council,2,1
2020-03-25,Public Health Emergency,2,2
2020-03-25,Public Health Emergency Of International Concern,2,3
2020-03-25,United States,2,4
2020-03-25,World Health Organization,2,5
2020-03-26,Education Service Center Region,1,1
2020-03-28,Department Of State Health Services,1,1
2020-03-28,Emergency Operations Center,1,2
2020-03-28,Facebook,1,3
2020-03-28,Health Authority,1,4
2020-03-28,Texas Department Of State Health Services,1,5
2020-03-28,Weatherford Chamber,1,6
2020-03-31,Centers For Disease,1,3
2020-03-31,Department Of State Health Services,1,4
2020-03-31,Emergency Operations Center,1,5
2020-03-31,Health Authority,1,6
2020-03-31,Weatherford Chamber,1,7
2020-03-31,Facebook,2,1
2020-03-31,Texas Department Of State Health Services,2,2
2020-04-01,Centers For Disease,1,9
2020-04-01,Health Resources,1,10
2020-04-01,Health Resources Services Administration,1,11
2020-04-01,National Association Of Community Health Centers,1,12
2020-04-01,National Association Of Free,1,13
2020-04-01,Queenscare Health Centers,1,14
2020-04-01,Services Administration,1,15
2020-04-01,United States,1,16
2020-04-01,Washington Healthcare Access Alliance,1,17
2020-04-01,Duke University,3,1
2020-04-01,Education Foundation,3,2
2020-04-01,Opportunity Scholarship Foundation,3,3
2020-04-01,University Of Texas At Arlington,3,4
2020-04-01,Wc Foundation,3,5
2020-04-01,Weatherford City Council,3,6
2020-04-01,Weatherford College,3,7
2020-04-01,Weatherford High School,3,8
