date,organization,count,rn
2020-03-17,Michigan Department Of Attorney,1,2
2020-03-17,Menards,2,1
2020-03-18,Clorox,1,2
2020-03-18,Michigan Department Of Attorney,1,3
2020-03-18,True Value,1,4
2020-03-18,Menards,2,1
2020-03-19,Alabama Department Of Public Health,1,1
2020-03-19,Centers For Disease,1,2
2020-03-19,Haier,1,3
2020-03-19,Morgan,1,4
2020-03-19,World Health Organization,1,5
2020-03-22,Bronson Lakeview Outpatient Center,1,2
2020-03-22,Centers For Disease,1,3
2020-03-22,Health Parkway,1,4
2020-03-22,Human Services,1,5
2020-03-22,Menards,1,6
2020-03-22,Michigan Department Of Health,1,7
2020-03-22,Phoebe Putney Health Systems,1,8
2020-03-22,Twitter,1,9
2020-03-22,Washington Department Of Health,1,10
2020-03-22,Kalamazoo County Health Community Services Department,2,1
2020-03-24,Arkansas Health Department,1,1
2020-03-24,Conway Regional Medical Center,1,2
2020-03-24,Department Of Health,1,3
2020-03-24,Facebook,1,4
2020-03-24,Health Dr,1,5
2020-03-24,Nan,1,6
2020-03-24,Youtube,1,7
2020-03-25,Conway Regional Medical Center,1,1
2020-03-25,Facebook,1,2
2020-03-26,Arkansas Department Of Health,1,2
2020-03-26,Centers For Disease,1,3
2020-03-26,Conway Regional Medical Center,1,4
2020-03-26,First Assemblies Of God Church,1,5
2020-03-26,First Assembly,1,6
2020-03-26,First Assembly Of God,1,7
2020-03-26,Instagram,1,8
2020-03-26,Justice League,1,9
2020-03-26,National Institute Of Allergy,1,10
2020-03-26,Twitter,1,11
2020-03-26,Facebook,3,1
2020-03-27,Alabama Medical Center,1,1
2020-03-27,Army Corps Of Engineers,1,2
2020-03-27,Assembly Of God,1,3
2020-03-27,Beaumont Health,1,4
2020-03-27,Conway Regional Medical Center,1,5
2020-03-27,Denver International Airport,1,6
2020-03-27,Facebook,1,7
2020-03-27,First Assembly Of God,1,8
2020-03-27,Henry Ford Health System,1,9
2020-03-27,Johns Hopkins University,1,10
2020-03-27,Life Church,1,11
2020-03-27,Mercy Health,1,12
2020-03-27,Metro Health,1,13
2020-03-27,Msnbc,1,14
2020-03-27,Spectrum Health,1,15
2020-03-27,White House,1,16
2020-03-27,York Bronx Medical Center,1,17
2020-03-28,Conway Regional Medical Center,1,1
2020-03-28,Facebook,1,2
2020-03-28,First Assembly,1,3
2020-03-29,Clare Progressive Catholic Church,1,10
2020-03-29,Anthony Catholic Church,2,7
2020-03-29,Julia Pickett Michigan Office Of The Governor,2,8
2020-03-29,Michigan Office Of The Governor,2,9
2020-03-29,Americans United For The Separation Of Church,3,1
2020-03-29,Cnn,3,2
2020-03-29,God People Church,3,3
2020-03-29,Life Tabernacle Church,3,4
2020-03-29,New York Times,3,5
2020-03-29,United States,3,6
2020-03-31,Nan,1,1
2020-04-01,America Mobile Pantry Program,1,1
2020-04-01,First Congregational Church,1,2
2020-04-01,Meijer,1,3
2020-04-01,Morrison,1,4
2020-04-01,Nan,1,5
2020-04-01,Valley Church,1,6
2020-04-01,We Care Inc,1,7
2020-04-03,Nan,2,1
2020-04-04,Associated Press,1,3
2020-04-04,Life Church,1,4
2020-04-04,Nan,1,5
2020-04-04,Sniffle Health,1,6
2020-04-04,Awaken Church,3,1
2020-04-04,Department Of Health,3,2
2020-04-05,Associated Press,1,3
2020-04-05,Life Church,1,4
2020-04-05,Sniffle Health,1,5
2020-04-05,Awaken Church,3,1
2020-04-05,Department Of Health,3,2
2020-04-06,Door Church,1,1
2020-04-06,Economic Policy Institute,1,2
2020-04-06,New York Times,1,3
2020-04-07,Door Church,1,1
2020-04-07,Economic Policy Institute,1,2
2020-04-07,Georgetown University Law Center,1,3
2020-04-07,New York Times,1,4
2020-04-07,University Of Michigan Law School,1,5
2020-04-11,Cora Lamping Center,1,1
2020-04-11,Joseph Township Police,1,2
2020-04-14,Eaton,1,1
2020-04-14,Hospital Sisters Health System,1,2
2020-04-14,Human Services,1,3
2020-04-14,Memorial Health System,1,4
2020-04-14,Mercy Health,1,5
2020-04-14,Michigan Department Of Health,1,6
2020-04-14,Pontiac,1,7
2020-04-15,Association Of American Medical Colleges,1,10
2020-04-15,Boston University School Of Law,1,11
2020-04-15,Career Center,1,12
2020-04-15,Columbia Law School,1,13
2020-04-15,Educational Testing Service,1,14
2020-04-15,English Department,1,15
2020-04-15,Harvard Law School,1,16
2020-04-15,Harvard Medical School,1,17
2020-04-15,Health Professions,1,18
2020-04-15,Johns Hopkins School Of Medicine,1,19
2020-04-15,Law School,1,20
2020-04-15,Nan,1,21
2020-04-15,National Association For Advisors,1,22
2020-04-15,Postdoctoral Affairs,1,23
2020-04-15,Student Council,1,24
2020-04-15,United States,1,25
2020-04-15,University Career Center,1,26
2020-04-15,University Of California,1,27
2020-04-15,University Of Michigan School Of Medicine,1,28
2020-04-15,University Of Pennsylvania Perelman School Of Medicine,1,29
2020-04-15,University School Of Law,1,30
2020-04-15,Wake Forest University School Of Law,1,31
2020-04-15,While The University,1,32
2020-04-15,While The University School Of Medicine,1,33
2020-04-15,Yale Law School,1,34
2020-04-15,Henry Ford Allegiance Health,2,7
2020-04-15,Michigan State Police,2,8
2020-04-15,Neither The Michigan State Police,2,9
2020-04-15,Sparrow Health System,3,5
